Comment,Designator,Footprint,LCSC
CH340G,U102,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,C14267
10k,"R104,R105,R106,R107,R108",R_0805_2012Metric,C17414
2k,R101,R_0805_2012Metric,C17604
470,"R102,R103",R_0805_2012Metric,C17673
22p,"C103,C105",C_0805_2012Metric,C1804
SS8050_C2150,"Q101,Q102",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C2150
Program,J101,PinSocket_1x04_P2.54mm_Vertical,C225501
Pantalla,J102,PinSocket_1x08_P2.54mm_Vertical,C27438
TYPE-C16PIN2MD(073),USB101,USB-C-SMD_TYPE-C-6PIN-2MD-073,C2765186
1u,C109,C_0805_2012Metric,C28323
TS-1187A-B-A-B,"SW101,SW102,SW103,SW106,SW107",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,C318884
22u,"C102,C104,C107",C_0805_2012Metric,C45783
100n,"C101,C106,C108,C110,C111",C_0805_2012Metric,C49678
AMS1117-3.3,U101,SOT-223-3_TabPin2,C6186
ESP32-WROOM-32E(4MB),U103,WIFI-SMD_ESP32-WROOM-32E,C701341
Sensores,J103,PinHeader_1x23_P2.54mm_Horizontal,C725915
LED,"D101,D102,D103",LED_0805_2012Metric,C84256
X322512MSB4SI,X101,OSC-SMD_4P-L3.2-W2.5-BL,C9002
