Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,100n,C_0805_2012Metric,213.25,-95.0,0.0,top
C102,22u,C_0805_2012Metric,230.0,-125.0,0.0,top
C103,22p,C_0805_2012Metric,173.2,-106.25,180.0,top
C104,22u,C_0805_2012Metric,209.0,-95.0,0.0,top
C105,22p,C_0805_2012Metric,177.05,-99.65,180.0,top
C106,100n,C_0805_2012Metric,234.2,-125.0,0.0,top
C107,22u,C_0805_2012Metric,217.75,-95.0,0.0,top
C108,100n,C_0805_2012Metric,222.0,-125.0,0.0,top
C109,1u,C_0805_2012Metric,178.0,-121.0,-90.0,top
C110,100n,C_0805_2012Metric,187.0,-123.0,90.0,top
C111,100n,C_0805_2012Metric,177.95,-118.0,0.0,top
D101,LED,LED_0805_2012Metric,222.3125,-95.0,0.0,top
D102,LED,LED_0805_2012Metric,220.5,-111.75,90.0,top
D103,LED,LED_0805_2012Metric,239.0,-111.75,90.0,top
J101,Program,PinSocket_1x04_P2.54mm_Vertical,171.275,-95.45,0.0,top
J102,Pantalla,PinSocket_1x08_P2.54mm_Vertical,220.125,-99.225,90.0,top
J103,Sensores,PinHeader_1x23_P2.54mm_Horizontal,178.825,-88.625,90.0,top
Q101,SS8050_C2150,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,180.0,-114.0,90.0,top
Q102,SS8050_C2150,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,180.0,-109.0,-90.0,top
R101,2k,R_0805_2012Metric,227.0,-95.0,0.0,top
R102,470,R_0805_2012Metric,226.0,-125.0,0.0,top
R103,470,R_0805_2012Metric,243.0,-105.0,-90.0,top
R104,10k,R_0805_2012Metric,177.0,-115.0,90.0,top
R105,10k,R_0805_2012Metric,177.25,-111.0,90.0,top
R106,10k,R_0805_2012Metric,183.5,-91.5,0.0,top
R107,10k,R_0805_2012Metric,218.0,-125.0,0.0,top
R108,10k,R_0805_2012Metric,178.0,-125.0,90.0,top
SW101,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,179.5,-95.5,0.0,top
SW102,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,191.0,-95.5,0.0,top
SW103,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,202.0,-95.5,0.0,top
SW106,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,191.5,-122.5,90.0,top
SW107,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,182.5,-122.5,90.0,top
U101,AMS1117-3.3,SOT-223-3_TabPin2,187.0,-113.0,0.0,top
U102,CH340G,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,186.75,-103.25,180.0,top
U103,ESP32-WROOM-32E(4MB),WIFI-SMD_ESP32-WROOM-32E,206.0,-110.5,90.0,top
USB101,TYPE-C16PIN2MD(073),USB-C-SMD_TYPE-C-6PIN-2MD-073,172.3325,-113.25,-90.0,top
X101,X322512MSB4SI,OSC-SMD_4P-L3.2-W2.5-BL,177.0,-102.75,0.0,top
